LAST NAME        FIRST NAME       ACCOUNT NUMBER      STREET ADDRESS      UNITS USED
Shehee           Elizabeth        852999              630 Gonzalez Av     005000
Ryan             Kyle             941001              66043 Sarah For     023708
Wansley          Anthony          478362              7806 Jason Flat     047668
Pugh             Kenneth          296258              073 Kathleen Wa     029107
Miller           Scott            948347              9684 Shaw Burg      033721
Parker           Lawrence         799146              943 Kennedy Fla     014172
Sinclair         Jennifer         340390              487 Michael Tra     075724
Runyan           Lamar            694177              25918 Gonzalez      015423
Dengler          Brandon          377628              8345 Lynn Key A     055768
Hosea            Irene            828733              5940 Andres Wel     079222
Kennedy          Erin             300389              50458 Morris Mi     082600
Payne            Megan            612213              025 Amy Via         007635
Braatz           Paul             669492              4104 Christophe     073741
Washburn         Sarah            182236              8261 Carson Isl     006897
Rudolph          Elizabeth        253036              90651 Rivera Or     005447
Mcmillen         Francis          289984              47920 Hamilton      073774
Prince           Phyllis          787115              63910 Pineda Da     011021
Patton           Alejandro        824641              5848 Fuentes Tu     018579
Turney           Judith           913618              0213 Lowe Loaf      031949
Anderson         Jeanette         579831              81244 Shannon S     000560
Jones            Samuel           982093              875 Lauren Vall     020211
Harris           Amanda           853435              854 Willis Fork     022826
Kennerson        Barbara          762352              7040 Reed Islan     060843
Kerns            Jean             667491              445 Andrew Terr     005530
Baker            Kari             544371              6104 Cameron Lo     068560
Velasquez        Anna             605065              3081 Mary Wells     029290
Ramirez          Cheryl           219410              454 Breanna Fal     000442
Mullins          Frank            324598              609 Rebecca Gle     011612
Bowman           Wayne            237743              795 Christopher     001847
Wilson           Charles          266605              2163 Crawford F     011329
Williams         Denise           400230              4112 Casey Forg     011048
Metcalf          Betty            446721              3760 Ryan Park      006000
Lopez            Heather          901992              636 Jessica Uni     010734
Young            Rene             662851              9813 Erika Row      029989
Bernardy         Rebecca          562886              4859 Gibson Isl     008014
Burke            Lori             202737              6203 Ashley Lod     018814
Jones            Wanda            762110              15038 Velasquez     004619
Johnson          Sheila           664521              18524 Jefferson     033266
Shields          Oswaldo          524121              449 Lambert Pat     028756
Mcneil           Joshua           583683              86210 Tonya Loa     024027
Barber           Miguel           454838              05482 James Rad     008846
Gordon           Sadie            414136              3590 George Und     023921
Armstrong        Tim              722195              21404 Brian Fla     000780
Garson           John             227424              120 Hannah Driv     019342
Dye              Mitchell         386496              182 Dana Cape A     036182
Condon           Bernice          520555              908 Reyes Land      014241
Doyle            William          733317              43194 Moore Par     005932
Sanchez          Carleen          783993              82123 Eric Lake     001352
Steckler         Raymond          389655              06153 Jesse Dri     001728
Jackson          Diane            311031              520 Robin Canyo     004974
Raines           Robin            331953              63269 Miguel Di     036307
Langerman        Marvin           958670              2442 Andrea Und     042563
Avant            Judy             775769              20290 Sanchez C     002459
Valentine        James            217760              2073 Floyd Rest     005289
Mccall           Michael          905905              70716 Robin Man     010471
Laflore          Charlotte        414995              554 Elizabeth O     020909
Maranda          Cynthia          579556              633 Haas Corner     000139
Blankenship      James            470867              99782 Baker Nec     020080
Johnson          John             518202              443 Maria Sprin     001308
Litzau           Jorge            576289              5315 Stephen Sh     033794
Nquyen           Alan             411344              81178 Cynthia S     000002
Williams         Michael          262954              037 Shannon Ram     003512
Fraser           Joan             810101              6611 Rowland Vi     022308
Dierking         Clarence         984645              394 James Landi     024656
Ma               Zoila            886174              52074 Ruiz Spri     005577
Rice             Tara             735764              501 Bell Path       082013
Adams            Linda            874748              99526 Parker Cr     026834
Streit           Alice            349767              92377 Barker Co     000696
Hooks            Randy            394515              702 Jeremy Road     028506
Coons            Thomas           651113              18149 Burke Mou     018114
Boey             Thomas           712417              89717 Frank Vis     001636
Laporta          Andrew           600964              3725 Allison Or     004063
Suh              Robert           977714              68264 Lee Harbo     017938
Shindorf         Douglas          103558              8186 Renee Vall     013040
Craine           Donnetta         244440              8579 Eric Dale      035896
Stewart          John             643697              690 Mayer Heigh     025056
Trinh            Pamela           626213              4379 Johnson Hi     022482
Garrett          Chad             597409              551 Jacobs Flat     005031
Jones            Ruth             993942              70685 Hill Driv     010596
Evans            Janet            189798              22398 Claire Br     007011
Faber            Keith            574224              0617 Taylor Thr     010326
Rodgers          Marie            386456              34499 Dana Gard     030428
Garrett          Martha           863414              198 Santos Exte     016574
Ames             Nicol            834328              9554 Brooks Lig     024688
Redd             Robert           561400              4322 Timothy Pl     031961
Whitlock         Penny            832151              570 Reyes Drive     070474
Verch            Danny            395960              5651 Angela Man     023014
Cernota          Wanda            127308              9231 Smith Pine     031643
Olsen            Bryon            768336              7290 Kline Unio     011053
Culver           Karol            534900              10334 Stephen S     006664
Grubbs           Mark             912342              3914 Winters St     009264
Gray             Rebecca          136608              27691 Williams      006196
